374513.378,4601626.518,0.630
374513.373,4601626.525,0.630
374513.370,4601626.515,0.630
374507.938,4601629.516,0.621
374507.940,4601629.520,0.621
374507.936,4601629.523,0.621
374509.273,4601635.958,0.579
374509.275,4601635.952,0.582
374509.268,4601635.958,0.579
374515.586,4601633.520,0.669
374515.589,4601633.512,0.669
374515.582,4601633.515,0.669
374432.238,4601290.462,0.518
374432.231,4601290.466,0.518
374428.694,4601293.068,0.433
374428.735,4601294.136,0.436
374428.739,4601294.141,0.436
374428.735,4601294.134,0.436
374427.712,4601294.216,0.409
374427.707,4601294.207,0.409
374427.709,4601294.209,0.409
374427.583,4601293.167,0.423
374427.582,4601293.152,0.423
374427.592,4601293.144,0.423
374418.434,4601293.234,0.362
374418.446,4601293.228,0.363
374418.689,4601294.207,0.358
374418.675,4601294.212,0.358
374417.670,4601294.478,0.332
374417.671,4601294.479,0.332
374417.674,4601294.471,0.332
374417.369,4601293.424,0.338
374417.377,4601293.417,0.338
374417.376,4601293.419,0.338
374410.087,4601299.451,0.317
374410.094,4601299.453,0.317
374410.094,4601299.453,0.317
374410.440,4601300.454,0.314
374410.447,4601300.463,0.314
374410.446,4601300.435,0.315
374409.462,4601300.828,0.286
374409.453,4601300.833,0.286
374408.975,4601299.879,0.309
374408.986,4601299.883,0.310
374408.980,4601299.890,0.309
374399.906,4601300.192,0.271
374399.919,4601300.187,0.271
374399.926,4601300.191,0.271
374400.100,4601301.255,0.282
374400.104,4601301.253,0.282
374400.124,4601301.248,0.281
374399.077,4601301.472,0.292
374399.079,4601301.473,0.292
374399.084,4601301.472,0.293
374398.798,4601300.381,0.259
374398.796,4601300.382,0.259
374398.810,4601300.388,0.260
374391.201,4601306.602,0.202
374391.208,4601306.608,0.203
374391.571,4601307.654,0.213
374391.568,4601307.649,0.213
374391.569,4601307.646,0.213
374390.658,4601308.024,0.217
374390.651,4601308.012,0.216
374390.663,4601308.024,0.217
374390.194,4601307.097,0.179
374390.194,4601307.083,0.178
374390.199,4601307.091,0.179
374380.897,4601307.311,0.195
374380.897,4601307.319,0.195
374380.912,4601307.309,0.196
374381.403,4601308.231,0.212
374381.391,4601308.241,0.212
374381.388,4601308.247,0.211
374380.441,4601308.654,0.184
374380.434,4601308.676,0.184
374380.442,4601308.685,0.184
374380.003,4601307.637,0.182
374380.003,4601307.648,0.182
374379.994,4601307.631,0.182
374362.111,4601313.602,0.148
374362.101,4601313.604,0.147
374362.107,4601313.592,0.147
374362.500,4601314.540,0.173
374362.504,4601314.533,0.173
374362.508,4601314.544,0.173
374361.575,4601314.908,0.174
374361.572,4601314.896,0.173
374361.578,4601314.892,0.173
374361.172,4601313.982,0.166
374361.172,4601313.971,0.166
374361.165,4601313.978,0.166
374353.875,4601319.995,0.239
374353.873,4601319.989,0.239
374353.877,4601319.977,0.238
374354.299,4601320.937,0.246
374354.300,4601320.927,0.246
374354.300,4601320.923,0.246
374353.359,4601321.403,0.244
374353.363,4601321.414,0.244
374353.366,4601321.402,0.244
374352.848,4601320.473,0.240
374352.848,4601320.463,0.240
374352.846,4601320.473,0.240
374316.341,4601333.773,0.247
374316.338,4601333.775,0.247
374316.341,4601333.774,0.247
374316.672,4601334.753,0.224
374316.667,4601334.744,0.225
374316.666,4601334.740,0.225
374315.759,4601335.224,0.207
374315.751,4601335.209,0.207
374315.738,4601335.193,0.207
374315.318,4601334.257,0.231
374315.320,4601334.266,0.231
374315.325,4601334.271,0.231
374305.574,4601334.552,0.209
374305.574,4601334.555,0.209
374305.560,4601334.562,0.209
374306.086,4601335.502,0.215
374306.085,4601335.504,0.215
374306.094,4601335.498,0.216
374305.171,4601336.054,0.217
374305.164,4601336.051,0.217
374305.171,4601336.052,0.217
374304.614,4601335.101,0.214
374304.615,4601335.125,0.214
374304.615,4601335.127,0.214
374297.685,4601341.095,0.188
374297.689,4601341.084,0.188
374297.690,4601341.077,0.188
374297.980,4601342.026,0.201
374297.980,4601342.026,0.201
374297.982,4601342.021,0.201
374297.014,4601342.412,0.175
374297.014,4601342.430,0.176
374297.018,4601342.436,0.176
374296.622,4601341.427,0.174
374296.618,4601341.428,0.174
374296.615,4601341.439,0.174
374303.416,4601395.794,0.160
374303.423,4601395.782,0.160
374303.421,4601395.780,0.160
374303.545,4601396.842,0.169
374303.540,4601396.830,0.169
374303.529,4601396.823,0.168
374302.504,4601397.123,0.143
374302.507,4601397.140,0.143
374302.511,4601397.150,0.143
374302.325,4601396.070,0.146
374302.328,4601396.064,0.146
374302.329,4601396.054,0.146
374312.219,4601389.934,0.218
374312.214,4601389.937,0.218
374312.212,4601389.936,0.218
374312.472,4601390.905,0.215
374312.480,4601390.904,0.215
374312.476,4601390.914,0.215
