northing_m,easting_m,altitude_m,2011.00,2014.00,2011-RTK,2014-RTK,2011diff^2,2014diff^2
4601396.33,374441.09,0.49,0.51,0.47,0.02,-0.02,0.00,0.00
4601396.07,374302.32,0.14,0.15,0.15,0.01,0.01,0.00,0.00
4601396.06,374302.33,0.14,0.15,0.15,0.01,0.00,0.00,0.00
4601396.05,374302.33,0.14,0.15,0.15,0.01,0.00,0.00,0.00
4601395.79,374303.42,0.17,0.16,0.16,-0.01,-0.01,0.00,0.00
4601395.78,374303.42,0.16,0.16,0.16,-0.01,0.00,0.00,0.00
4601395.78,374303.42,0.16,0.16,0.16,-0.01,0.00,0.00,0.00
4601391.35,374321.76,0.24,0.26,0.26,0.01,0.01,0.00,0.00
4601391.35,374321.77,0.24,0.25,0.26,0.02,0.02,0.00,0.00
4601391.32,374321.76,0.25,0.25,0.26,0.01,0.01,0.00,0.00
4601391.18,374311.46,0.17,0.23,0.19,0.06,0.02,0.00,0.00
4601391.18,374311.45,0.17,0.23,0.19,0.06,0.02,0.00,0.00
4601391.17,374311.46,0.17,0.23,0.19,0.06,0.02,0.00,0.00
4601391.09,374322.74,0.24,0.28,0.27,0.04,0.03,0.00,0.00
4601391.08,374322.74,0.24,0.28,0.27,0.04,0.03,0.00,0.00
4601391.08,374322.74,0.24,0.28,0.27,0.04,0.04,0.00,0.00
4601390.91,374312.48,0.19,0.23,0.22,0.05,0.03,0.00,0.00
4601390.91,374312.47,0.19,0.23,0.22,0.04,0.03,0.00,0.00
4601390.90,374312.48,0.19,0.23,0.22,0.04,0.02,0.00,0.00
4601390.37,374321.50,0.22,0.24,0.24,0.02,0.02,0.00,0.00
4601390.36,374321.50,0.22,0.24,0.24,0.02,0.02,0.00,0.00
4601390.36,374321.49,0.23,0.24,0.24,0.01,0.01,0.00,0.00
4601390.19,374311.18,0.18,0.24,0.19,0.07,0.02,0.00,0.00
4601390.18,374311.18,0.18,0.24,0.19,0.07,0.02,0.00,0.00
4601390.16,374311.20,0.17,0.24,0.20,0.07,0.02,0.01,0.00
4601390.11,374322.57,0.24,0.23,0.26,0.00,0.03,0.00,0.00
4601390.09,374322.57,0.23,0.23,0.26,0.00,0.03,0.00,0.00
4601389.94,374312.21,0.21,0.25,0.22,0.05,0.01,0.00,0.00
4601389.94,374312.21,0.21,0.25,0.22,0.05,0.01,0.00,0.00
4601389.93,374312.22,0.21,0.25,0.22,0.05,0.01,0.00,0.00
4601385.54,374341.05,-0.04,0.15,0.16,0.19,0.19,0.04,0.04
4601385.53,374341.05,-0.04,0.15,0.16,0.19,0.20,0.04,0.04
4601385.53,374341.05,-0.05,0.15,0.16,0.20,0.20,0.04,0.04
4601385.42,374330.49,0.20,0.18,0.20,-0.02,0.00,0.00,0.00
4601385.42,374330.50,0.20,0.18,0.20,-0.02,0.00,0.00,0.00
4601385.41,374330.50,0.20,0.18,0.20,-0.02,0.00,0.00,0.00
4601385.26,374342.08,-0.06,0.13,0.17,0.19,0.23,0.04,0.05
4601385.26,374342.08,-0.06,0.13,0.17,0.19,0.23,0.04,0.05
4601385.26,374342.08,-0.06,0.13,0.17,0.19,0.23,0.04,0.05
4601385.12,374331.54,0.22,0.24,0.24,0.02,0.02,0.00,0.00
4601385.12,374331.53,0.22,0.24,0.24,0.02,0.02,0.00,0.00
4601385.11,374331.53,0.22,0.24,0.24,0.02,0.02,0.00,0.00
4601384.56,374340.79,0.02,0.13,0.18,0.11,0.16,0.01,0.02
4601384.55,374340.78,0.02,0.13,0.18,0.11,0.16,0.01,0.02
4601384.55,374340.77,0.01,0.13,0.18,0.12,0.16,0.01,0.03
4601384.38,374330.19,0.17,0.14,0.22,-0.03,0.05,0.00,0.00
4601384.38,374330.19,0.18,0.14,0.22,-0.03,0.04,0.00,0.00
4601384.20,374341.75,0.21,0.20,0.15,-0.01,-0.06,0.00,0.00
4601384.19,374341.74,0.21,0.20,0.15,-0.01,-0.05,0.00,0.00
4601384.06,374331.29,0.22,0.20,0.27,-0.03,0.04,0.00,0.00
4601384.05,374331.30,0.23,0.20,0.27,-0.03,0.04,0.00,0.00
4601384.05,374331.28,0.23,0.20,0.27,-0.03,0.04,0.00,0.00
4601380.02,374360.14,0.17,0.19,0.19,0.01,0.01,0.00,0.00
4601380.00,374360.13,0.18,0.19,0.19,0.01,0.01,0.00,0.00
4601379.98,374360.13,0.17,0.18,0.19,0.01,0.01,0.00,0.00
4601379.77,374349.65,0.20,0.16,0.20,-0.04,0.00,0.00,0.00
4601379.76,374349.66,0.20,0.16,0.19,-0.05,-0.01,0.00,0.00
4601379.76,374349.66,0.20,0.15,0.19,-0.04,0.00,0.00,0.00
4601379.73,374361.21,0.16,0.19,0.19,0.03,0.03,0.00,0.00
4601379.73,374361.21,0.16,0.19,0.19,0.03,0.03,0.00,0.00
4601379.73,374361.21,0.16,0.19,0.19,0.03,0.03,0.00,0.00
4601379.35,374350.58,0.21,0.17,0.20,-0.05,-0.02,0.00,0.00
4601379.35,374350.59,0.21,0.17,0.20,-0.05,-0.02,0.00,0.00
4601379.34,374350.60,0.21,0.17,0.20,-0.04,-0.01,0.00,0.00
4601378.93,374359.82,0.17,0.20,0.21,0.02,0.03,0.00,0.00
4601378.93,374359.83,0.18,0.20,0.21,0.02,0.03,0.00,0.00
4601378.92,374359.83,0.17,0.20,0.21,0.02,0.03,0.00,0.00
4601378.69,374360.96,0.16,0.18,0.19,0.02,0.02,0.00,0.00
4601378.68,374360.97,0.16,0.18,0.19,0.03,0.03,0.00,0.00
4601378.44,374350.28,-0.02,0.18,0.14,0.19,0.15,0.04,0.02
4601378.43,374350.29,-0.02,0.18,0.13,0.19,0.15,0.04,0.02
4601378.43,374350.29,-0.03,0.18,0.13,0.20,0.16,0.04,0.03
4601373.87,374369.89,0.17,0.20,0.19,0.03,0.01,0.00,0.00
4601373.87,374369.89,0.18,0.20,0.19,0.02,0.01,0.00,0.00
4601373.86,374369.90,0.18,0.20,0.19,0.02,0.01,0.00,0.00
4601373.56,374370.97,0.09,0.14,0.10,0.05,0.02,0.00,0.00
4601373.54,374370.96,0.09,0.14,0.11,0.05,0.02,0.00,0.00
4601372.81,374369.57,0.21,0.20,0.20,-0.01,-0.01,0.00,0.00
4601372.81,374369.59,0.22,0.20,0.20,-0.02,-0.02,0.00,0.00
4601372.50,374370.69,0.14,0.18,0.14,0.04,0.01,0.00,0.00
4601372.49,374370.68,0.13,0.18,0.14,0.05,0.01,0.00,0.00
4601372.48,374370.68,0.14,0.18,0.14,0.04,0.01,0.00,0.00
4601362.48,374417.45,0.24,0.25,0.21,0.01,-0.03,0.00,0.00
4601362.45,374417.45,0.23,0.25,0.21,0.01,-0.02,0.00,0.00
4601362.20,374418.46,0.23,0.24,0.24,0.01,0.01,0.00,0.00
4601362.20,374418.46,0.23,0.24,0.24,0.01,0.01,0.00,0.00
4601362.20,374418.48,0.23,0.24,0.24,0.00,0.00,0.00,0.00
4601361.38,374417.13,0.22,0.26,0.22,0.04,0.00,0.00,0.00
4601361.38,374417.12,0.23,0.26,0.22,0.03,0.00,0.00,0.00
4601361.38,374417.12,0.22,0.26,0.22,0.04,0.00,0.00,0.00
4601361.18,374418.25,0.22,0.24,0.25,0.01,0.02,0.00,0.00
4601361.17,374418.25,0.24,0.24,0.25,0.00,0.01,0.00,0.00
4601361.17,374418.24,0.23,0.24,0.25,0.01,0.02,0.00,0.00
4601356.43,374436.78,0.33,0.31,0.32,-0.02,-0.01,0.00,0.00
4601356.43,374436.78,0.33,0.31,0.32,-0.03,-0.01,0.00,0.00
4601356.42,374436.78,0.32,0.31,0.32,-0.02,0.00,0.00,0.00
4601356.37,374426.18,0.26,0.27,0.23,0.01,-0.03,0.00,0.00
4601356.36,374426.17,0.26,0.27,0.23,0.02,-0.03,0.00,0.00
4601356.36,374426.17,0.26,0.28,0.23,0.01,-0.03,0.00,0.00
4601356.05,374437.73,0.41,0.39,0.39,-0.02,-0.02,0.00,0.00
4601356.01,374427.24,0.26,0.29,0.25,0.03,-0.01,0.00,0.00
4601356.00,374427.24,0.27,0.29,0.25,0.02,-0.02,0.00,0.00
4601355.98,374427.24,0.26,0.29,0.25,0.03,-0.01,0.00,0.00
4601355.44,374436.32,0.30,0.24,0.27,-0.06,-0.03,0.00,0.00
4601355.44,374436.33,0.31,0.24,0.27,-0.06,-0.03,0.00,0.00
4601355.31,374425.84,0.24,0.29,0.23,0.05,-0.01,0.00,0.00
4601355.31,374425.83,0.24,0.29,0.23,0.05,-0.01,0.00,0.00
4601355.03,374437.45,0.37,0.34,0.35,-0.04,-0.03,0.00,0.00
4601355.03,374437.44,0.37,0.34,0.35,-0.04,-0.03,0.00,0.00
4601355.02,374437.43,0.38,0.33,0.35,-0.04,-0.03,0.00,0.00
4601354.99,374426.94,0.26,0.31,0.25,0.06,-0.01,0.00,0.00
4601354.98,374426.93,0.27,0.31,0.25,0.04,-0.02,0.00,0.00
4601350.60,374445.25,0.52,0.51,0.49,-0.01,-0.03,0.00,0.00
4601350.59,374445.25,0.52,0.51,0.49,-0.01,-0.03,0.00,0.00
4601350.59,374445.25,0.52,0.51,0.49,-0.01,-0.03,0.00,0.00
4601350.31,374446.29,0.52,0.55,0.53,0.03,0.01,0.00,0.00
4601350.30,374446.28,0.52,0.55,0.53,0.03,0.01,0.00,0.00
4601349.50,374444.97,0.54,0.51,0.50,-0.03,-0.04,0.00,0.00
4601349.50,374444.97,0.53,0.51,0.50,-0.03,-0.03,0.00,0.00
4601349.28,374446.06,0.52,0.56,0.53,0.04,0.01,0.00,0.00
4601349.27,374446.07,0.52,0.56,0.53,0.04,0.01,0.00,0.00
4601342.44,374297.02,0.19,0.21,0.18,0.02,-0.01,0.00,0.00
4601342.43,374297.01,0.19,0.21,0.18,0.02,-0.02,0.00,0.00
4601342.41,374297.01,0.20,0.21,0.18,0.01,-0.02,0.00,0.00
4601342.03,374297.98,0.20,0.20,0.20,-0.01,0.00,0.00,0.00
4601342.03,374297.98,0.20,0.20,0.20,-0.01,0.00,0.00,0.00
4601342.02,374297.98,0.20,0.20,0.20,-0.01,0.00,0.00,0.00
4601341.44,374296.61,0.19,0.19,0.17,-0.01,-0.02,0.00,0.00
4601341.43,374296.62,0.20,0.19,0.17,-0.01,-0.02,0.00,0.00
4601341.43,374296.62,0.20,0.19,0.17,-0.01,-0.02,0.00,0.00
4601341.10,374297.68,0.20,0.20,0.19,0.00,-0.01,0.00,0.00
4601341.08,374297.69,0.20,0.20,0.19,0.00,-0.01,0.00,0.00
4601341.08,374297.69,0.20,0.20,0.19,-0.01,-0.01,0.00,0.00
4601336.05,374305.17,0.22,0.24,0.22,0.02,0.00,0.00,0.00
4601336.05,374305.17,0.22,0.24,0.22,0.02,0.00,0.00,0.00
4601336.05,374305.16,0.22,0.24,0.22,0.02,0.00,0.00,0.00
4601335.50,374306.09,0.23,0.23,0.22,0.00,-0.01,0.00,0.00
4601335.50,374306.09,0.23,0.23,0.22,0.00,-0.01,0.00,0.00
4601335.50,374306.09,0.22,0.23,0.22,0.01,0.00,0.00,0.00
4601335.22,374315.76,0.23,0.23,0.21,0.00,-0.02,0.00,0.00
4601335.21,374315.75,0.23,0.23,0.21,0.00,-0.02,0.00,0.00
4601335.19,374315.74,0.23,0.23,0.21,0.00,-0.02,0.00,0.00
4601335.13,374304.61,0.22,0.23,0.21,0.01,-0.01,0.00,0.00
4601335.13,374304.62,0.22,0.23,0.21,0.01,-0.01,0.00,0.00
4601335.10,374304.61,0.22,0.23,0.21,0.01,0.00,0.00,0.00
4601334.75,374316.67,0.21,0.20,0.22,-0.02,0.01,0.00,0.00
4601334.74,374316.67,0.21,0.20,0.23,-0.01,0.02,0.00,0.00
4601334.74,374316.67,0.21,0.20,0.23,-0.01,0.02,0.00,0.00
4601334.56,374305.56,0.21,0.23,0.21,0.02,0.00,0.00,0.00
4601334.56,374305.57,0.21,0.23,0.21,0.02,0.00,0.00,0.00
4601334.55,374305.57,0.21,0.23,0.21,0.02,0.00,0.00,0.00
4601334.27,374315.32,0.23,0.21,0.23,-0.02,0.00,0.00,0.00
4601334.27,374315.32,0.23,0.21,0.23,-0.02,0.00,0.00,0.00
4601334.26,374315.32,0.23,0.21,0.23,-0.02,0.00,0.00,0.00
4601333.78,374316.34,0.20,0.22,0.25,0.01,0.04,0.00,0.00
4601333.77,374316.34,0.20,0.22,0.25,0.01,0.04,0.00,0.00
4601333.77,374316.34,0.20,0.22,0.25,0.01,0.04,0.00,0.00
4601321.41,374353.36,0.19,0.25,0.24,0.07,0.06,0.00,0.00
4601321.40,374353.36,0.18,0.25,0.24,0.07,0.06,0.01,0.00
4601321.40,374353.37,0.18,0.25,0.24,0.07,0.06,0.01,0.00
4601320.94,374354.30,0.20,0.25,0.25,0.05,0.04,0.00,0.00
4601320.93,374354.30,0.20,0.25,0.25,0.05,0.04,0.00,0.00
4601320.92,374354.30,0.21,0.25,0.25,0.04,0.04,0.00,0.00
4601320.47,374352.85,0.21,0.25,0.24,0.04,0.03,0.00,0.00
4601320.47,374352.85,0.22,0.25,0.24,0.04,0.02,0.00,0.00
4601320.46,374352.85,0.21,0.25,0.24,0.04,0.03,0.00,0.00
4601320.00,374353.87,0.22,0.23,0.24,0.00,0.02,0.00,0.00
4601319.99,374353.87,0.23,0.23,0.24,0.00,0.01,0.00,0.00
4601319.98,374353.88,0.22,0.23,0.24,0.01,0.02,0.00,0.00
4601314.91,374361.58,0.10,0.16,0.17,0.06,0.07,0.00,0.01
4601314.90,374361.57,0.10,0.16,0.17,0.05,0.07,0.00,0.00
4601314.89,374361.58,0.10,0.16,0.17,0.06,0.07,0.00,0.01
4601314.54,374362.51,0.11,0.19,0.17,0.08,0.06,0.01,0.00
4601314.54,374362.50,0.11,0.19,0.17,0.07,0.06,0.01,0.00
4601314.53,374362.50,0.11,0.19,0.17,0.07,0.06,0.01,0.00
4601313.98,374361.17,0.22,0.13,0.17,-0.09,-0.05,0.01,0.00
4601313.98,374361.17,0.21,0.13,0.17,-0.09,-0.05,0.01,0.00
4601313.97,374361.17,0.21,0.13,0.17,-0.09,-0.05,0.01,0.00
4601313.60,374362.10,0.11,0.13,0.15,0.02,0.04,0.00,0.00
4601313.60,374362.11,0.11,0.13,0.15,0.02,0.03,0.00,0.00
4601313.59,374362.11,0.11,0.13,0.15,0.02,0.03,0.00,0.00
4601308.69,374380.44,0.18,0.15,0.18,-0.03,0.01,0.00,0.00
4601308.68,374380.43,0.18,0.15,0.18,-0.03,0.01,0.00,0.00
4601308.65,374380.44,0.18,0.15,0.18,-0.04,0.00,0.00,0.00
4601308.25,374381.39,0.17,0.18,0.21,0.01,0.04,0.00,0.00
4601308.24,374381.39,0.17,0.18,0.21,0.01,0.04,0.00,0.00
4601308.23,374381.40,0.16,0.18,0.21,0.02,0.05,0.00,0.00
4601308.02,374390.66,0.20,0.20,0.22,0.00,0.01,0.00,0.00
4601308.02,374390.66,0.20,0.20,0.22,0.00,0.02,0.00,0.00
4601308.01,374390.65,0.20,0.20,0.22,0.00,0.02,0.00,0.00
4601307.65,374391.57,0.22,0.20,0.21,-0.01,0.00,0.00,0.00
4601307.65,374391.57,0.21,0.20,0.21,-0.01,0.00,0.00,0.00
4601307.65,374380.00,0.11,0.17,0.18,0.06,0.07,0.00,0.00
4601307.65,374391.57,0.21,0.20,0.21,-0.01,0.00,0.00,0.00
4601307.64,374380.00,0.10,0.17,0.18,0.07,0.08,0.01,0.01
4601307.63,374379.99,0.10,0.17,0.18,0.07,0.08,0.00,0.01
4601307.32,374380.90,0.21,0.23,0.20,0.02,-0.01,0.00,0.00
4601307.31,374380.90,0.20,0.23,0.20,0.02,-0.01,0.00,0.00
4601307.31,374380.91,0.20,0.23,0.20,0.02,-0.01,0.00,0.00
4601307.10,374390.19,0.20,0.19,0.18,-0.01,-0.02,0.00,0.00
4601307.09,374390.20,0.20,0.20,0.18,-0.01,-0.02,0.00,0.00
4601307.08,374390.19,0.20,0.20,0.18,-0.01,-0.02,0.00,0.00
4601306.61,374391.21,0.22,0.21,0.20,0.00,-0.01,0.00,0.00
4601306.60,374391.20,0.22,0.21,0.20,0.00,-0.01,0.00,0.00
4601301.47,374399.08,0.24,0.24,0.29,-0.01,0.05,0.00,0.00
4601301.47,374399.08,0.24,0.24,0.29,-0.01,0.05,0.00,0.00
4601301.47,374399.08,0.24,0.24,0.29,-0.01,0.05,0.00,0.00
4601301.26,374400.10,0.27,0.27,0.28,0.00,0.01,0.00,0.00
4601301.25,374400.10,0.27,0.27,0.28,0.00,0.01,0.00,0.00
4601301.25,374400.12,0.27,0.27,0.28,0.00,0.01,0.00,0.00
4601300.83,374409.45,0.25,0.25,0.29,0.00,0.03,0.00,0.00
4601300.83,374409.46,0.26,0.25,0.29,0.00,0.03,0.00,0.00
4601300.46,374410.45,0.29,0.28,0.31,-0.01,0.03,0.00,0.00
4601300.45,374410.44,0.29,0.28,0.31,-0.01,0.02,0.00,0.00
4601300.44,374410.45,0.28,0.28,0.32,-0.01,0.03,0.00,0.00
4601300.39,374398.81,0.26,0.25,0.26,-0.01,0.00,0.00,0.00
4601300.38,374398.80,0.26,0.25,0.26,-0.01,0.00,0.00,0.00
4601300.38,374398.80,0.26,0.25,0.26,-0.01,0.00,0.00,0.00
4601300.19,374399.91,0.25,0.26,0.27,0.01,0.02,0.00,0.00
4601300.19,374399.93,0.25,0.26,0.27,0.01,0.03,0.00,0.00
4601300.19,374399.92,0.25,0.26,0.27,0.01,0.02,0.00,0.00
4601299.89,374408.98,0.27,0.27,0.31,0.00,0.04,0.00,0.00
4601299.88,374408.99,0.27,0.27,0.31,0.00,0.04,0.00,0.00
4601299.88,374408.97,0.27,0.27,0.31,0.00,0.04,0.00,0.00
4601299.45,374410.09,0.29,0.29,0.32,0.01,0.03,0.00,0.00
4601299.45,374410.09,0.29,0.29,0.32,0.00,0.03,0.00,0.00
4601299.45,374410.09,0.29,0.29,0.32,0.00,0.03,0.00,0.00
4601294.48,374417.67,0.35,0.36,0.33,0.00,-0.02,0.00,0.00
4601294.48,374417.67,0.35,0.36,0.33,0.01,-0.02,0.00,0.00
4601294.47,374417.67,0.36,0.36,0.33,0.00,-0.02,0.00,0.00
4601294.22,374427.71,0.39,0.35,0.41,-0.04,0.02,0.00,0.00
4601294.21,374418.67,0.37,0.34,0.36,-0.03,-0.01,0.00,0.00
4601294.21,374427.71,0.39,0.35,0.41,-0.04,0.02,0.00,0.00
4601294.21,374427.71,0.39,0.35,0.41,-0.04,0.02,0.00,0.00
4601294.21,374418.69,0.36,0.34,0.36,-0.02,0.00,0.00,0.00
4601294.14,374428.74,0.42,0.36,0.44,-0.05,0.02,0.00,0.00
4601294.14,374428.74,0.42,0.36,0.44,-0.05,0.02,0.00,0.00
4601294.13,374428.73,0.42,0.36,0.44,-0.05,0.02,0.00,0.00
4601293.42,374417.37,0.33,0.33,0.34,0.00,0.00,0.00,0.00
4601293.42,374417.38,0.33,0.33,0.34,0.00,0.01,0.00,0.00
4601293.42,374417.38,0.34,0.33,0.34,0.00,0.00,0.00,0.00
4601293.23,374418.43,0.36,0.33,0.36,-0.03,0.00,0.00,0.00
4601293.23,374418.45,0.37,0.33,0.36,-0.03,0.00,0.00,0.00
4601293.17,374427.58,0.40,0.35,0.42,-0.04,0.03,0.00,0.00
4601293.15,374427.58,0.39,0.35,0.42,-0.04,0.03,0.00,0.00
4601293.14,374427.59,0.40,0.35,0.42,-0.04,0.03,0.00,0.00
4601293.07,374428.69,0.42,0.37,0.43,-0.05,0.01,0.00,0.00
4601290.47,374432.23,0.47,0.48,0.52,0.01,0.05,0.00,0.00
4601290.46,374432.24,0.47,0.48,0.52,0.01,0.05,0.00,0.00
