northing_m	easting_m	altitude_m
4601378.431	374350.2903	-0.0279
4601379.348	374350.5845	0.2141
4601379.338	374350.596	0.2071
4601379.347	374350.5861	0.2131
4601379.759	374349.6561	0.1961
4601379.764	374349.6556	0.2011
4601379.765	374349.6539	0.1971
4601378.686	374360.9576	0.1621
4601378.684	374360.967	0.1571
4601379.733	374361.2075	0.1581
4601379.728	374361.207	0.1581
4601379.731	374361.2092	0.1591
4601379.981	374360.1347	0.1711
4601380.003	374360.1325	0.1771
4601380.02	374360.1391	0.1711
4601378.924	374359.833	0.1721
4601378.925	374359.8279	0.1781
4601378.926	374359.8236	0.1721
4601372.495	374370.6892	0.1351
4601372.485	374370.6758	0.1291
4601372.483	374370.6769	0.1361
4601373.556	374370.9706	0.0881
4601373.539	374370.9642	0.0901
4601373.862	374369.9019	0.1781
4601373.866	374369.8935	0.1761
4601373.87	374369.8929	0.1721
4601372.807	374369.5693	0.2071
4601372.806	374369.5896	0.2171
4601361.169	374418.2418	0.2291
4601361.172	374418.2548	0.2351
4601361.179	374418.2488	0.2241
4601362.202	374418.4601	0.2301
4601362.202	374418.4633	0.2321
4601362.2	374418.476	0.2341
4601362.484	374417.4479	0.2381
4601362.453	374417.4486	0.2331
4601361.382	374417.1228	0.2261
4601361.376	374417.1249	0.2211
4601361.384	374417.1281	0.2241
4601354.976	374426.9308	0.2701
4601354.989	374426.944	0.2581
4601356.006	374427.2446	0.2591
4601355.998	374427.2403	0.2661
4601355.981	374427.2441	0.2591
4601356.365	374426.1802	0.2641
4601356.357	374426.1661	0.2631
4601356.359	374426.1737	0.2551
4601355.314	374425.8415	0.2401
4601355.313	374425.8337	0.2431
4601355.031	374437.4463	0.3741
4601355.029	374437.4428	0.3731
4601355.024	374437.4319	0.3751
4601356.053	374437.7327	0.4081
4601356.415	374436.7844	0.3241
4601356.433	374436.7836	0.3281
4601356.427	374436.7819	0.3341
4601355.443	374436.3221	0.3021
4601355.44	374436.3288	0.3061
4601349.273	374446.0731	0.5211
4601349.279	374446.0649	0.5201
4601350.299	374446.2762	0.5191
4601350.314	374446.2865	0.5181
4601350.592	374445.2454	0.5191
4601350.595	374445.2478	0.5211
4601350.585	374445.252	0.5211
4601349.5	374444.974	0.5321
4601349.502	374444.9712	0.5401
4601396.338	374442.1598	0.5131
4601396.335	374442.1518	0.5061
4601397.397	374442.2325	0.4781
4601397.407	374442.2456	0.4871
4601397.49	374441.0665	0.5111
4601397.48	374441.0671	0.5091
4601397.487	374441.0683	0.5081
4601396.327	374441.0902	0.4891
4601396.33	374441.0756	0.4861
4601401.23	374432.8992	0.3781
4601402.187	374433.3256	0.3531
4601402.711	374432.3662	0.3481
4601402.694	374432.3616	0.3521
4601402.702	374432.3636	0.3461
4601402.695	374432.3589	0.3461
4601401.713	374431.8144	0.3781
4601401.726	374431.8268	0.3891
4601401.731	374431.8549	0.3581
4601401.505	374422.4454	0.2551
4601401.477	374422.4399	0.2591
4601402.469	374422.8697	0.2851
4601402.466	374422.8726	0.2871
4601402.934	374421.8719	0.2861
4601402.928	374421.8757	0.2881
4601401.95	374421.4232	0.2751
4601401.943	374421.4214	0.2791
4601407.587	374413.809	0.2501
4601407.586	374413.7997	0.2501
4601408.549	374414.1248	0.2541
4601746.082	374541.8422	0.3915
4601743.691	374546.0646	0.3345
4601741.719	374549.8212	0.3774
4601736.812	374547.2213	0.3976
4601739.665	374541.0694	0.3776
4601742.28	374536.5637	0.3717
4601735.995	374531.4679	0.3819
4601732.467	374534.9477	0.4059
4601729.822	374538.5886	0.3398
4601712.215	374506.7504	0.3548
4601712.301	374507.4417	0.3777
4601711.217	374507.7612	0.3598
4601710.1	374507.1727	0.3478
4601709.433	374506.2888	0.3708
